;id_visita;nombre_especie;altura_cm;DBH_cm
7;1;Quercus faginea;400.0;11.77
12;1;Quercus faginea;800.0;14.96
13;1;Quercus faginea;850.0;16.87
17;1;Quercus faginea;700.0;15.27
18;1;Quercus faginea;800.0;17.82
21;1;Quercus faginea;400.0;14.96
23;1;Quercus faginea;600.0;33.74
25;1;Quercus faginea;305.0;11.14
27;1;Quercus faginea;500.0;19.73
32;1;Quercus faginea;450.0;15.91
33;1;Quercus faginea;250.0;16.87
34;1;Quercus faginea;300.0;15.91
37;2;Quercus faginea;500.0;9.86
38;2;Quercus faginea;500.0;9.86
39;2;Quercus faginea;800.0;8.59
40;2;Quercus faginea;350.0;11.45
42;2;Quercus faginea;800.0;8.27
44;2;Quercus faginea;1200.0;21.64
46;2;Quercus faginea;600.0;8.27
48;2;Quercus faginea;;
49;2;Quercus faginea;;
50;2;Quercus faginea;;
51;2;Quercus faginea;;
52;2;Quercus faginea;;
55;2;Quercus faginea;650.0;29.92
56;2;Quercus faginea;450.0;9.54
57;2;Quercus faginea;600.0;11.45
58;2;Quercus faginea;600.0;11.45
59;2;Quercus faginea;450.0;11.45
60;2;Quercus faginea;600.0;15.27
61;2;Quercus faginea;500.0;7.95
62;2;Quercus faginea;900.0;11.77
64;2;Quercus faginea;500.0;11.77
65;2;Quercus faginea;600.0;14.64
68;2;Quercus faginea;700.0;14.96
69;2;Quercus faginea;550.0;10.5
70;2;Quercus faginea;600.0;13.05
71;2;Quercus faginea;1000.0;19.73
75;2;Quercus faginea;600.0;18.78
79;2;Quercus faginea;250.0;8.27
80;2;Quercus faginea;800.0;22.6
82;2;Quercus faginea;1000.0;29.92
83;2;Quercus faginea;900.0;13.68
88;3;Quercus faginea;700.0;141.01
91;3;Quercus faginea;700.0;19.73
92;3;Quercus faginea;1500.0;31.83
97;3;Quercus faginea;700.0;13.05
98;3;Quercus faginea;300.0;8.91
99;3;Quercus faginea;600.0;8.91
100;3;Quercus faginea;350.0;8.59
101;3;Quercus faginea;450.0;9.54
102;3;Quercus faginea;1000.0;21.0
103;3;Quercus faginea;200.0;8.59
104;3;Quercus faginea;450.0;12.09
105;3;Quercus faginea;550.0;11.77
106;3;Quercus faginea;1000.0;14.64
107;3;Quercus faginea;800.0;10.5
112;3;Quercus faginea;800.0;15.91
116;3;Quercus faginea;1100.0;12.73
121;3;Quercus faginea;900.0;21.64
127;3;Quercus faginea;1000.0;15.59
128;3;Quercus faginea;500.0;9.23
129;3;Quercus faginea;1000.0;16.87
130;3;Quercus faginea;1600.0;48.38
140;4;Quercus faginea;;
141;4;Quercus faginea;1000.0;16.87
142;4;Quercus faginea;1000.0;19.73
143;4;Quercus faginea;900.0;12.73
144;4;Quercus faginea;700.0;13.68
145;4;Quercus faginea;900.0;14.0
146;4;Quercus faginea;1100.0;22.6
148;4;Quercus faginea;900.0;13.68
151;4;Quercus faginea;900.0;20.37
152;4;Quercus faginea;1200.0;24.5
153;4;Quercus faginea;400.0;10.5
154;4;Quercus faginea;450.0;8.91
155;4;Quercus faginea;1100.0;18.14
156;4;Quercus faginea;900.0;11.45
157;4;Quercus faginea;1200.0;17.82
160;4;Quercus faginea;700.0;12.73
161;4;Quercus faginea;1200.0;21.0
162;4;Quercus faginea;700.0;18.46
163;4;Quercus faginea;800.0;12.09
164;4;Quercus faginea;600.0;11.14
166;4;Quercus faginea;350.0;11.77
167;4;Quercus faginea;700.0;13.05
180;5;Quercus faginea;950.0;23.87
185;5;Quercus faginea;950.0;17.82
187;5;Quercus faginea;750.0;11.14
188;5;Quercus faginea;850.0;26.73
189;5;Quercus faginea;1200.0;29.92
196;5;Quercus faginea;800.0;10.18
197;5;Quercus faginea;;
198;5;Quercus faginea;;
199;5;Quercus faginea;;
200;5;Quercus faginea;;
201;5;Quercus faginea;;
202;5;Quercus faginea;;
203;5;Quercus faginea;;
204;5;Quercus faginea;900.0;13.68
205;5;Quercus faginea;1100.0;24.5
206;5;Quercus faginea;850.0;24.19
207;5;Quercus faginea;1100.0;
211;5;Quercus faginea;1000.0;16.55
212;5;Quercus faginea;750.0;7.95
220;5;Quercus faginea;1100.0;17.5
221;5;Quercus faginea;950.0;14.96
223;5;Quercus faginea;1000.0;22.91
225;5;Quercus faginea;1000.0;21.0
226;5;Quercus faginea;1000.0;20.05
228;5;Quercus faginea;1100.0;24.19
230;5;Quercus faginea;1150.0;17.5
231;5;Quercus faginea;900.0;12.73
232;5;Quercus faginea;1000.0;28.32
235;5;Quercus faginea;350.0;8.27
236;5;Quercus faginea;600.0;10.18
237;5;Quercus faginea;750.0;18.46
238;5;Quercus faginea;900.0;18.14
240;6;Quercus faginea;850.0;6.04
242;6;Quercus faginea;;
243;6;Quercus faginea;;
244;6;Quercus faginea;;
245;6;Quercus faginea;;
246;6;Quercus faginea;;
247;6;Quercus faginea;;
248;6;Quercus faginea;;
249;6;Quercus faginea;;
250;6;Quercus faginea;;
251;6;Quercus faginea;;
252;6;Quercus faginea;;
253;6;Quercus faginea;;
254;6;Quercus faginea;;
255;6;Quercus faginea;;
275;6;Quercus faginea;600.0;16.23
276;6;Quercus faginea;600.0;16.23
278;6;Quercus faginea;750.0;9.54
282;6;Quercus faginea;850.0;10.82
284;6;Quercus faginea;650.0;10.82
285;6;Quercus faginea;780.0;21.96
287;6;Quercus faginea;950.0;15.91
288;6;Quercus faginea;120.0;25.78
290;6;Quercus faginea;700.0;14.64
291;6;Quercus faginea;1100.0;21.64
293;6;Quercus faginea;700.0;12.73
295;7;Quercus faginea;1300.0;31.51
296;7;Quercus faginea;900.0;14.32
303;7;Quercus faginea;1050.0;19.41
304;7;Quercus faginea;900.0;15.91
305;7;Quercus faginea;1100.0;26.41
306;7;Quercus faginea;950.0;17.82
307;7;Quercus faginea;750.0;11.77
310;7;Quercus faginea;800.0;16.55
311;7;Quercus faginea;800.0;18.46
312;7;Quercus faginea;1000.0;25.14
313;7;Quercus faginea;850.0;19.41
315;7;Quercus faginea;800.0;10.5
316;7;Quercus faginea;900.0;17.18
317;7;Quercus faginea;;
318;7;Quercus faginea;;
319;7;Quercus faginea;850.0;14.32
320;7;Quercus faginea;1150.0;20.37
321;7;Quercus faginea;1050.0;18.78
322;7;Quercus faginea;550.0;9.86
324;7;Quercus faginea;1100.0;19.73
326;7;Quercus faginea;1250.0;23.55
327;7;Quercus faginea;700.0;12.73
328;7;Quercus faginea;1200.0;19.73
332;8;Quercus faginea;1050.0;26.1
333;8;Quercus faginea;450.0;11.14
339;8;Quercus faginea;750.0;19.73
343;8;Quercus faginea;600.0;11.45
344;8;Quercus faginea;400.0;8.91
345;8;Quercus faginea;350.0;9.86
346;8;Quercus faginea;800.0;18.14
347;8;Quercus faginea;750.0;18.14
348;8;Quercus faginea;700.0;16.87
350;8;Quercus faginea;1000.0;24.19
353;8;Quercus faginea;900.0;15.91
354;8;Quercus faginea;900.0;15.59
356;9;Quercus faginea;700.0;27.69
357;10;Quercus faginea;550.0;13.68
358;10;Quercus faginea;600.0;23.87
359;10;Quercus faginea;;
360;10;Quercus faginea;;
361;10;Quercus faginea;950.0;38.83
362;10;Quercus faginea;550.0;14.64
363;10;Quercus faginea;500.0;14.0
364;11;Quercus faginea;;
365;11;Quercus faginea;450.0;13.36
366;11;Quercus faginea;240.0;8.91
367;11;Quercus faginea;500.0;10.5
368;12;Quercus faginea;450.0;8.59
369;12;Quercus faginea;;
370;12;Quercus faginea;;
371;12;Quercus faginea;;
372;12;Quercus faginea;;
373;12;Quercus faginea;;
374;12;Quercus faginea;;
375;12;Quercus faginea;;
376;12;Quercus faginea;;
377;12;Quercus faginea;;
378;12;Quercus faginea;;
379;12;Quercus faginea;;
380;12;Quercus faginea;;
381;12;Quercus faginea;750.0;14.64
382;12;Quercus faginea;600.0;8.91
383;12;Quercus faginea;600.0;8.91
384;12;Quercus faginea;500.0;9.23
385;12;Quercus faginea;750.0;12.41
386;12;Quercus faginea;900.0;12.41
387;12;Quercus faginea;750.0;11.77
388;12;Quercus faginea;650.0;14.32
389;12;Quercus faginea;800.0;16.55
390;12;Quercus faginea;500.0;8.59
391;12;Quercus faginea;300.0;9.54
392;12;Quercus faginea;750.0;17.5
393;12;Quercus faginea;800.0;15.91
394;12;Quercus faginea;450.0;7.95
395;12;Quercus faginea;450.0;7.63
396;12;Quercus faginea;450.0;9.23
397;12;Quercus faginea;550.0;11.14
398;12;Quercus faginea;350.0;9.54
399;12;Quercus faginea;450.0;8.91
400;12;Quercus faginea;600.0;12.41
401;12;Quercus faginea;650.0;11.45
402;12;Quercus faginea;300.0;8.59
403;12;Quercus faginea;450.0;11.77
404;12;Quercus faginea;350.0;7.95
405;12;Quercus faginea;750.0;18.46
406;12;Quercus faginea;650.0;13.36
407;12;Quercus faginea;550.0;19.09
408;12;Quercus faginea;40.0;8.27
409;13;Quercus faginea;550.0;14.96
410;13;Quercus faginea;;
411;13;Quercus faginea;;
412;13;Quercus faginea;;
413;13;Quercus faginea;500.0;14.96
414;13;Quercus faginea;700.0;11.77
415;13;Quercus faginea;550.0;12.09
416;13;Quercus faginea;450.0;11.45
417;13;Quercus faginea;350.0;9.23
418;13;Quercus faginea;350.0;9.23
419;13;Quercus faginea;500.0;10.82
420;13;Quercus faginea;650.0;14.32
421;13;Quercus faginea;700.0;12.73
422;13;Quercus faginea;550.0;12.73
423;13;Quercus faginea;450.0;10.5
424;13;Quercus faginea;400.0;14.96
425;13;Quercus faginea;400.0;8.27
426;13;Quercus faginea;500.0;12.41
427;13;Quercus faginea;350.0;11.77
428;13;Quercus faginea;650.0;19.09
429;14;Quercus faginea;800.0;20.37
430;14;Quercus faginea;800.0;21.64
431;15;Quercus faginea;;
432;15;Quercus faginea;750.0;18.78
433;15;Quercus faginea;850.0;26.1
434;15;Quercus faginea;400.0;7.63
435;15;Quercus faginea;900.0;26.1
436;15;Quercus faginea;400.0;9.54
437;15;Quercus faginea;600.0;14.64
438;15;Quercus faginea;400.0;7.95
439;15;Quercus faginea;750.0;22.91
440;15;Quercus faginea;850.0;24.19
441;15;Quercus faginea;550.0;10.5
442;16;Quercus faginea;1000.0;29.6
443;16;Quercus faginea;1200.0;28.01
444;16;Quercus faginea;450.0;7.95
445;16;Quercus faginea;1000.0;24.19
446;16;Quercus faginea;750.0;26.1
447;16;Quercus faginea;900.0;21.96
448;16;Quercus faginea;650.0;23.23
